,precision,recall,f1-score,support
A10,0.43448275862068964,0.5431034482758621,0.4827586206896552,116.0
A400M,0.6739130434782609,0.3875,0.49206349206349204,80.0
AG600,0.5609756097560976,0.5476190476190477,0.5542168674698795,42.0
AH64,0.460431654676259,0.8,0.5844748858447488,80.0
AKINCI,0.75,0.21428571428571427,0.3333333333333333,14.0
AV8B,0.7391304347826086,0.4927536231884058,0.591304347826087,69.0
An124,0.5,0.30303030303030304,0.37735849056603776,33.0
An22,0.5,0.058823529411764705,0.10526315789473684,17.0
An225,0.3333333333333333,0.058823529411764705,0.1,17.0
An72,0.6666666666666666,0.07142857142857142,0.12903225806451613,28.0
B1,0.48,0.4897959183673469,0.48484848484848486,98.0
B2,0.391812865497076,0.788235294117647,0.5234375,85.0
B21,1.0,0.1111111111111111,0.2,9.0
B52,0.4180327868852459,0.5425531914893617,0.4722222222222222,94.0
Be200,0.3939393939393939,0.28888888888888886,0.3333333333333333,45.0
C1,0.5333333333333333,0.2222222222222222,0.3137254901960784,36.0
C130,0.47416413373860183,0.6582278481012658,0.5512367491166078,237.0
C17,0.34868421052631576,0.4774774774774775,0.40304182509505704,111.0
C2,0.44715447154471544,0.88,0.5929919137466307,125.0
C390,0.75,0.10344827586206896,0.18181818181818182,29.0
C5,0.35,0.23333333333333334,0.28,60.0
CH47,0.6363636363636364,0.6481481481481481,0.6422018348623854,54.0
CH53,0.0,0.0,0.0,15.0
CL415,0.8431372549019608,0.7049180327868853,0.7678571428571429,61.0
E2,0.6521739130434783,0.8450704225352113,0.7361963190184049,71.0
E7,0.5862068965517241,0.5151515151515151,0.5483870967741935,33.0
EF2000,0.31932773109243695,0.304,0.3114754098360656,125.0
EMB314,0.6842105263157895,0.30952380952380953,0.4262295081967213,42.0
F117,0.7368421052631579,0.7368421052631579,0.7368421052631579,57.0
F14,0.5555555555555556,0.12195121951219512,0.2,82.0
F15,0.3184713375796178,0.4329004329004329,0.3669724770642202,231.0
F16,0.29770992366412213,0.5360824742268041,0.38282208588957056,291.0
F18,0.4194528875379939,0.5247148288973384,0.46621621621621623,263.0
F2,0.0,0.0,0.0,22.0
F22,0.5066666666666667,0.3584905660377358,0.4198895027624309,106.0
F35,0.3211009174311927,0.6086956521739131,0.42042042042042044,230.0
F4,0.4339622641509434,0.21100917431192662,0.2839506172839506,109.0
FCK1,0.5,0.125,0.2,16.0
H6,0.4927536231884058,0.4788732394366197,0.4857142857142857,71.0
Il76,0.1,0.024390243902439025,0.0392156862745098,41.0
J10,0.46464646464646464,0.40350877192982454,0.431924882629108,114.0
J20,0.4326241134751773,0.4728682170542636,0.45185185185185184,129.0
J35,1.0,0.05263157894736842,0.1,19.0
J36,0.5,0.15384615384615385,0.23529411764705882,13.0
J50,0.0,0.0,0.0,6.0
JAS39,0.5,0.25274725274725274,0.3357664233576642,91.0
JF17,1.0,0.02564102564102564,0.05,39.0
JH7,0.4444444444444444,0.09302325581395349,0.15384615384615385,43.0
KAAN,0.0,0.0,0.0,10.0
KC135,0.7017543859649122,0.6060606060606061,0.6504065040650406,66.0
KF21,0.0,0.0,0.0,18.0
KJ600,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
Ka27,0.3333333333333333,0.125,0.18181818181818182,24.0
Ka52,0.5862068965517241,0.4358974358974359,0.5,39.0
MQ25,0.0,0.0,0.0,8.0
MQ9,0.5614035087719298,0.5818181818181818,0.5714285714285714,55.0
Mi24,0.5892857142857143,0.5892857142857143,0.5892857142857143,56.0
Mi26,0.8571428571428571,0.35294117647058826,0.5,17.0
Mi28,0.5909090909090909,0.41935483870967744,0.49056603773584906,31.0
Mi8,0.6176470588235294,0.44680851063829785,0.5185185185185185,47.0
Mig29,0.6666666666666666,0.14035087719298245,0.2318840579710145,57.0
Mig31,0.723404255319149,0.4722222222222222,0.5714285714285714,72.0
Mirage2000,0.38235294117647056,0.18840579710144928,0.2524271844660194,69.0
P3,0.75,0.46153846153846156,0.5714285714285714,78.0
RQ4,0.3968253968253968,0.5434782608695652,0.45871559633027525,46.0
Rafale,0.3821138211382114,0.39166666666666666,0.3868312757201646,120.0
SR71,0.47368421052631576,0.43902439024390244,0.45569620253164556,41.0
Su24,0.42028985507246375,0.3972602739726027,0.4084507042253521,73.0
Su25,0.3333333333333333,0.16176470588235295,0.21782178217821782,68.0
Su34,0.42028985507246375,0.3625,0.38926174496644295,80.0
Su47,0.6666666666666666,0.15384615384615385,0.25,13.0
Su57,0.41379310344827586,0.19047619047619047,0.2608695652173913,63.0
TB001,0.0,0.0,0.0,14.0
TB2,0.7037037037037037,0.59375,0.6440677966101694,64.0
Tejas,0.0,0.0,0.0,21.0
