,precision,recall,f1-score,support
A10,0.3867924528301887,0.35344827586206895,0.36936936936936937,116.0
A400M,0.47692307692307695,0.3875,0.42758620689655175,80.0
AG600,0.6206896551724138,0.42857142857142855,0.5070422535211268,42.0
AH64,0.3448275862068966,0.5,0.40816326530612246,80.0
AKINCI,1.0,0.07142857142857142,0.13333333333333333,14.0
AV8B,0.5319148936170213,0.36231884057971014,0.43103448275862066,69.0
An124,0.48,0.36363636363636365,0.41379310344827586,33.0
An22,0.2222222222222222,0.23529411764705882,0.22857142857142856,17.0
An225,0.14285714285714285,0.058823529411764705,0.08333333333333333,17.0
An72,0.1,0.03571428571428571,0.05263157894736842,28.0
B1,0.25806451612903225,0.24489795918367346,0.2513089005235602,98.0
B2,0.41836734693877553,0.4823529411764706,0.44808743169398907,85.0
B21,0.0,0.0,0.0,9.0
B52,0.3088235294117647,0.22340425531914893,0.25925925925925924,94.0
Be200,0.6296296296296297,0.37777777777777777,0.4722222222222222,45.0
C1,0.7272727272727273,0.2222222222222222,0.3404255319148936,36.0
C130,0.5686274509803921,0.48945147679324896,0.5260770975056689,237.0
C17,0.2937062937062937,0.3783783783783784,0.33070866141732286,111.0
C2,0.458128078817734,0.744,0.5670731707317073,125.0
C390,0.3,0.20689655172413793,0.24489795918367346,29.0
C5,0.19047619047619047,0.06666666666666667,0.09876543209876543,60.0
CH47,0.4852941176470588,0.6111111111111112,0.5409836065573771,54.0
CH53,0.3333333333333333,0.06666666666666667,0.1111111111111111,15.0
CL415,0.5454545454545454,0.7868852459016393,0.6442953020134228,61.0
E2,0.5789473684210527,0.4647887323943662,0.515625,71.0
E7,0.5,0.42424242424242425,0.45901639344262296,33.0
EF2000,0.26356589147286824,0.272,0.2677165354330709,125.0
EMB314,0.7222222222222222,0.30952380952380953,0.43333333333333335,42.0
F117,0.43333333333333335,0.45614035087719296,0.4444444444444444,57.0
F14,0.2376237623762376,0.2926829268292683,0.26229508196721313,82.0
F15,0.2857142857142857,0.3203463203463203,0.3020408163265306,231.0
F16,0.2981220657276995,0.436426116838488,0.3542538354253835,291.0
F18,0.3835227272727273,0.5133079847908745,0.43902439024390244,263.0
F2,0.6666666666666666,0.18181818181818182,0.2857142857142857,22.0
F22,0.36363636363636365,0.2641509433962264,0.30601092896174864,106.0
F35,0.27293577981651373,0.5173913043478261,0.35735735735735735,230.0
F4,0.2087912087912088,0.1743119266055046,0.19,109.0
FCK1,0.0,0.0,0.0,16.0
H6,0.4666666666666667,0.49295774647887325,0.4794520547945205,71.0
Il76,0.4,0.14634146341463414,0.21428571428571427,41.0
J10,0.4574468085106383,0.37719298245614036,0.41346153846153844,114.0
J20,0.3860759493670886,0.4728682170542636,0.4250871080139373,129.0
J35,0.0,0.0,0.0,19.0
J36,1.0,0.15384615384615385,0.26666666666666666,13.0
J50,0.0,0.0,0.0,6.0
JAS39,0.5555555555555556,0.16483516483516483,0.2542372881355932,91.0
JF17,0.42857142857142855,0.07692307692307693,0.13043478260869565,39.0
JH7,0.45,0.20930232558139536,0.2857142857142857,43.0
KAAN,0.125,0.1,0.1111111111111111,10.0
KC135,0.3793103448275862,0.3333333333333333,0.3548387096774194,66.0
KF21,0.2222222222222222,0.1111111111111111,0.14814814814814814,18.0
KJ600,0.2,0.06666666666666667,0.1,15.0
Ka27,0.391304347826087,0.375,0.3829787234042553,24.0
Ka52,0.4782608695652174,0.5641025641025641,0.5176470588235295,39.0
MQ25,0.3333333333333333,0.125,0.18181818181818182,8.0
MQ9,0.4375,0.2545454545454545,0.3218390804597701,55.0
Mi24,0.31313131313131315,0.5535714285714286,0.4,56.0
Mi26,0.3333333333333333,0.29411764705882354,0.3125,17.0
Mi28,0.4827586206896552,0.45161290322580644,0.4666666666666667,31.0
Mi8,0.24324324324324326,0.3829787234042553,0.2975206611570248,47.0
Mig29,0.3939393939393939,0.22807017543859648,0.28888888888888886,57.0
Mig31,0.6041666666666666,0.4027777777777778,0.48333333333333334,72.0
Mirage2000,0.23728813559322035,0.2028985507246377,0.21875,69.0
P3,0.7454545454545455,0.5256410256410257,0.6165413533834586,78.0
RQ4,0.46511627906976744,0.43478260869565216,0.449438202247191,46.0
Rafale,0.34782608695652173,0.26666666666666666,0.3018867924528302,120.0
SR71,0.4,0.4878048780487805,0.43956043956043955,41.0
Su24,0.5079365079365079,0.4383561643835616,0.47058823529411764,73.0
Su25,0.30666666666666664,0.3382352941176471,0.32167832167832167,68.0
Su34,0.4215686274509804,0.5375,0.4725274725274725,80.0
Su47,0.0,0.0,0.0,13.0
Su57,0.39285714285714285,0.3492063492063492,0.3697478991596639,63.0
TB001,1.0,0.21428571428571427,0.35294117647058826,14.0
