,precision,recall,f1-score,support
A10,0.0,0.0,0.0,116.0
A400M,0.0,0.0,0.0,80.0
AG600,0.0,0.0,0.0,42.0
AH64,0.0,0.0,0.0,80.0
AKINCI,0.0,0.0,0.0,14.0
AV8B,0.0,0.0,0.0,69.0
An124,0.0,0.0,0.0,33.0
An22,0.0,0.0,0.0,17.0
An225,0.0,0.0,0.0,17.0
An72,0.0,0.0,0.0,28.0
B1,0.0,0.0,0.0,98.0
B2,0.0,0.0,0.0,85.0
B21,0.0,0.0,0.0,9.0
B52,0.0,0.0,0.0,94.0
Be200,0.0,0.0,0.0,45.0
C1,0.0,0.0,0.0,36.0
C130,0.0,0.0,0.0,237.0
C17,0.0,0.0,0.0,111.0
C2,0.0,0.0,0.0,125.0
C390,0.0,0.0,0.0,29.0
C5,0.0,0.0,0.0,60.0
CH47,0.0,0.0,0.0,54.0
CH53,0.0,0.0,0.0,15.0
CL415,0.0,0.0,0.0,61.0
E2,0.0,0.0,0.0,71.0
E7,0.0,0.0,0.0,33.0
EF2000,0.0,0.0,0.0,125.0
EMB314,0.0,0.0,0.0,42.0
F117,0.0,0.0,0.0,57.0
F14,0.0,0.0,0.0,82.0
F15,0.0,0.0,0.0,231.0
F16,0.0491554054054054,1.0,0.09370471743680567,291.0
F18,0.5,0.0038022813688212928,0.007547169811320755,263.0
F2,0.0,0.0,0.0,22.0
F22,0.0,0.0,0.0,106.0
F35,0.0,0.0,0.0,230.0
F4,0.0,0.0,0.0,109.0
FCK1,0.0,0.0,0.0,16.0
H6,0.0,0.0,0.0,71.0
Il76,0.0,0.0,0.0,41.0
J10,0.0,0.0,0.0,114.0
J20,0.0,0.0,0.0,129.0
J35,0.0,0.0,0.0,19.0
J36,0.0,0.0,0.0,13.0
J50,0.0,0.0,0.0,6.0
JAS39,0.0,0.0,0.0,91.0
JF17,0.0,0.0,0.0,39.0
JH7,0.0,0.0,0.0,43.0
KAAN,0.0,0.0,0.0,10.0
KC135,0.0,0.0,0.0,66.0
KF21,0.0,0.0,0.0,18.0
KJ600,0.0,0.0,0.0,15.0
Ka27,0.0,0.0,0.0,24.0
Ka52,0.0,0.0,0.0,39.0
MQ25,0.0,0.0,0.0,8.0
MQ9,0.0,0.0,0.0,55.0
Mi24,0.0,0.0,0.0,56.0
Mi26,0.0,0.0,0.0,17.0
Mi28,0.0,0.0,0.0,31.0
Mi8,0.0,0.0,0.0,47.0
Mig29,0.0,0.0,0.0,57.0
Mig31,0.0,0.0,0.0,72.0
Mirage2000,0.0,0.0,0.0,69.0
P3,0.0,0.0,0.0,78.0
RQ4,0.0,0.0,0.0,46.0
Rafale,0.0,0.0,0.0,120.0
SR71,0.0,0.0,0.0,41.0
Su24,0.0,0.0,0.0,73.0
Su25,0.0,0.0,0.0,68.0
Su34,0.0,0.0,0.0,80.0
Su47,0.0,0.0,0.0,13.0
Su57,0.0,0.0,0.0,63.0
TB001,0.0,0.0,0.0,14.0
TB2,0.0,0.0,0.0,64.0
Tejas,0.0,0.0,0.0,21.0
Tornado,0.0,0.0,0.0,74.0
Tu160,0.0,0.0,0.0,64.0
Tu22M,0.0,0.0,0.0,66.0
Tu95,0.0,0.0,0.0,65.0
U2,0.0,0.0,0.0,49.0
UH60,0.0,0.0,0.0,52.0
US2,0.0,0.0,0.0,100.0
V22,0.0,0.0,0.0,136.0
V280,0.0,0.0,0.0,6.0
Vulcan,0.0,0.0,0.0,61.0
WZ10,0.0,0.0,0.0,3.0
WZ7,0.0,0.0,0.0,20.0
WZ9,0.0,0.0,0.0,2.0
X29,0.0,0.0,0.0,8.0
X32,0.0,0.0,0.0,12.0
XB70,0.0,0.0,0.0,27.0
XQ58,0.0,0.0,0.0,6.0
Y20,0.0,0.0,0.0,53.0
YF23,0.0,0.0,0.0,21.0
Z10,0.0,0.0,0.0,17.0
Z19,0.0,0.0,0.0,17.0
accuracy,0.049299341549890255,0.049299341549890255,0.049299341549890255,0.049299341549890255
macro avg,0.005720368806306306,0.010456273764258554,0.0010547071588346503,5923.0
weighted avg,0.024616617081373117,0.049299341549890255,0.004938878682169139,5923.0
